#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"It Never Entered My Mind","Miles Davis Quintet",60,116,"bebop, contemporary post-bop, cool jazz, jazz","Jazz","Workin' With The Miles Davis Quintet",1959-00-00,05:23,48,22,89,0,12,0,10,-11,G#/A♭ Major,4,-,6QlkHjQmo2YncQN5MQXgPZ,"Prestige",4B,,https://i.scdn.co/image/ab67616d00004851e2e871611c36d490252a2e9f
2,"Give It Back","Gaelle",35,104,"","","Transient",2004-06-06,04:23,85,57,9,0,55,0,20,-8,C♯/D♭ Minor,4,-,5J7IxnfrHwgN3vFuioOvet,"Naked Music",12A,https://p.scdn.co/mp3-preview/483a3fa346980a5124185856eb99d1b5901102d4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515bb4fe1da4e84bf3bba01daa
3,"O Mundo É Um Moinho","Cartola",59,76,"bossa nova, mpb, samba, samba-enredo, velha guarda","Jazz, Latin","Cartola (1976)",1976-02-06,03:53,43,30,89,36,50,0,10,-13,A Major,4,-,3PavsmA9S6QA5lNmmsuOif,"Universal Music Ltda.",11B,,https://i.scdn.co/image/ab67616d000048519854c0ddb18055c616154d18
4,"Diddy Bop","Noname,Raury,Cam O'bi",59,81,"alternative r&b, chicago rap, psychedelic hip hop, ","R&B, Hip Hop","Telefone",2016-07-31,03:28,64,50,71,0,66,30,10,-7,C♯/D♭ Major,4,-,7CRPXJt3IVC7V0VcM0PSQi,"Noname",3B,https://p.scdn.co/mp3-preview/04cc619e5559fcef6b442fc42f081a9b67281ee6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
5,"Reckless & Sweet","Amaarae",67,98,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop","R&B, World/Traditional, Pop","Fountain Baby",2023-06-09,02:39,80,55,43,3,35,0,0,-8,F Minor,4,-,6gQrm0rwg6hok8IxzysD8m,"Golden Angel/ Interscope Records",4A,,https://i.scdn.co/image/ab67616d00004851c8ddabbbb56597f7f1fc6828
6,"None but the Rain","Townes Van Zandt",41,76,"alternative country, classic texas country, cosmic american, folk, outlaw country, roots rock, singer-songwriter","Country, Folk/Acoustic, Rock","Townes Van Zandt",1969-09,02:23,53,12,81,0,26,0,10,-19,A Minor,4,-,5X0ax3W4acNnoMnHqXtcAb,"Fat Possum",8A,https://p.scdn.co/mp3-preview/fa523acc501b20333916797faf637f3dd3121595?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
7,"forcing","mage tears",44,127,"lo-fi indie","Rock","old songs",2022-01-04,01:24,55,3,76,77,22,10,40,-32,A Major,4,-,4IDw6HePTUSQKKs9DGJM93,"mage tears",11B,,https://i.scdn.co/image/ab67616d00004851c6c3f3ee2f532006d00e5e87
8,"Ashes from Your Burning Wood","Orion Rigel Dommisse",11,125,"freak folk","Folk/Acoustic","What I Want From You Is Sweet",2007-00-00,02:37,46,12,94,6,29,0,10,-16,F Major,4,-,3bTQtuwpHOPLNJ2kVBzXfr,"Language Of Stone",7B,https://p.scdn.co/mp3-preview/b753d22d3f817e4cf12a33ef8a0d07e3e0864f5f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b6c4750d632e7dce4100d675
9,"愛してる","callin'",39,75,"","","ヒビノウタ",2009-02-18,05:18,50,31,68,0,31,0,20,-9,C♯/D♭ Major,4,-,0GRt5wKP7LOJMHVD7OAMtE,"Sony Music Direct (Japan) Inc.",3B,https://p.scdn.co/mp3-preview/363029aa9ac2474b8906ba9b54c3341ad62c6372?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510042867f607eb159629b65a9
10,"Ditto","NewJeans",86,134,"k-pop, k-pop girl group","Pop","Ditto",2022-12-19,03:05,81,64,3,0,18,10,10,-6,F#/G♭ Minor,4,-,3r8RuvgbX9s7ammBn07D3W,"ADOR",11A,https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edf5b257be1d6593e81bb45f
11,"Waiting Around to Die","Townes Van Zandt",56,90,"alternative country, classic texas country, cosmic american, folk, outlaw country, roots rock, singer-songwriter","Country, Folk/Acoustic, Rock","Townes Van Zandt",1969-09,02:45,55,23,71,0,66,0,10,-18,F#/G♭ Minor,4,-,7gtrXOGETM9OkerNjNXeie,"Fat Possum",11A,https://p.scdn.co/mp3-preview/a9159ffe1065f4c859bd1c5bf22c539d0a7a9d6f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
12,"Doritos & Fritos","100 gecs",57,172,"bubblegum bass, hyperpop, proto-hyperpop","Pop","10,000 gecs",2023-03-17,03:16,65,98,2,0,92,10,0,-3,E Minor,4,-,1jPPKYq1s1HhIjAiqrnRR8,"Dog Show Records",9A,https://p.scdn.co/mp3-preview/18e0226497fb301c0f107d2dd1e4f2b2aa96337f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123c7a7224c1378fc3e6427cb
13,"Selfish Sleep","Lord Snow",27,85,"emoviolence, skramz","Metal","Solitude",2013-09-19,01:17,21,100,0,26,9,20,10,-5,G#/A♭ Major,4,-,5pw8VLzTikMBxUXhsf7haQ,"Adagio830",4B,https://p.scdn.co/mp3-preview/0722ab5e502f2e43f699b2c391be5c836e4f43e7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ed645e7c4efe3a7b53b38a21
14,"All I Need","Noname,Xavier Omär",46,92,"alternative r&b, chicago rap","R&B, Hip Hop","Telefone",2016-07-31,04:00,65,36,77,0,50,40,10,-10,F#/G♭ Minor,4,-,4668yE5DFMEOyFUZC04brA,"Noname",11A,https://p.scdn.co/mp3-preview/4d746ca70db1c5d1119570bf46ba6aa9c7c1a96e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
15,"TQM","Fuerza Regida",81,125,"corrido, corridos tumbados, sad sierreno, sierreno","Latin","Pa las Baby's Y Belikeada",2023-10-20,02:37,79,86,26,0,96,0,10,-5,F Minor,3,-,2O223PoYCkIPSsE4cmnr9v,"Rancho Humilde/Street Mob Records",4A,https://p.scdn.co/mp3-preview/b84c78a12d92edf55fedcf2ec3ba94085225489b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ad57982065339f7dc2058efe
16,"いかれたNeet","Shinsei Kamattechan",30,185,"japanese alternative rock","Rock","つまんね",2010-12-22,04:29,34,89,0,0,38,0,10,-5,G#/A♭ Major,4,-,5FwmHNPWzsCwL5Nlvt3FKp,"WM Japan",4B,https://p.scdn.co/mp3-preview/a74c3617d72abc894a790544006be159cdb54887?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485175899e5e14b9a8ec9ff96f8a
17,"You Can't Blame Me","Johnson, Hawkins, Tatum & Durr",38,170,"traditional soul","R&B","You Can't Blame Me b/w Your Love Keeps Drawing Me Closer",1971-01-01,03:28,34,72,45,0,74,0,50,-6,C♯/D♭ Minor,4,-,6ySblS643JLPsKPHjCfq0w,"Numero Group",12A,https://p.scdn.co/mp3-preview/895e6222cf3835435c8120f41b4b7235d4ab03b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb4139e533b7ce346b64f817
18,"Forever","Noname,Ravyn Lenae,Joseph Chilliams",43,114,"alternative r&b, chicago rap, indie soul, indie hip hop","R&B, Hip Hop","Telefone",2016-07-31,03:38,67,66,57,0,91,40,10,-10,F#/G♭ Minor,5,-,3MoQWxjYFWm5wh7Q5XwSBp,"Noname",11A,https://p.scdn.co/mp3-preview/e6f3de0d085a9a872d2c028874195c0328afe087?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
19,"OMG","NewJeans",87,127,"k-pop, k-pop girl group","Pop","NewJeans 'OMG'",2023-01-02,03:32,80,77,36,0,74,0,10,-4,A Minor,4,-,65FftemJ1DbbZ45DUfHJXE,"ADOR",8A,https://p.scdn.co/mp3-preview/b9e344aa96afc45a56df77ca63c78786bdaa0047?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d70036292d54f29e8b68ec01
20,"You Are Mine","Jay Robinson",41,123,"","","Will I Ever b/w You Are Mine",2022-08-17,03:06,70,39,94,0,34,0,60,-7,A Major,4,-,42KlNWDzCS1yZgCuvj26Eu,"Numero Group",11B,https://p.scdn.co/mp3-preview/bafbd353d0414d3c6bf479bdcada09887a2dc6aa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485132291f10af0f68fcf86de139
