#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"CAN'T SAY","Travis Scott",80,148,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,03:18,70,71,20,0,71,0,10,-5,A#/B♭ Minor,4,2024-01-27,27a1mYSG5tYg7dmEjWBcmL,"Cactus Jack / Epic",3A,https://p.scdn.co/mp3-preview/4b3564ac8a8363c105fbc651062e2a466076c69c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
2,"New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz,Tame Impala,Bootie Brown",71,108,"alternative hip hop, modern rock, rock, australian psych, neo-psychedelic, ","Hip Hop, Metal, Rock, Folk/Acoustic","Cracker Island",2023-02-24,03:35,70,92,4,5,55,0,10,-4,C♯/D♭ Minor,3,2024-01-27,60SvhHtwefT0e2G7i7kOH3,"Parlophone UK",12A,https://p.scdn.co/mp3-preview/4740cf77950ce638656b3e350b13a1c6e91a1580?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
3,"1AM FREESTYLE","Joji",68,126,"viral pop","Pop","SMITHEREENS",2022-11-04,01:53,62,54,75,0,12,0,10,-6,C Minor,4,2024-01-27,0FqBNLXlTNimxmVRdDMj6b,"88rising Music/Warner Records",5A,https://p.scdn.co/mp3-preview/825a99462cd12783e6d9426ea73115326bc86fee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eaac2a7955f5b8967991cacb
4,"20 Min","Lil Uzi Vert",84,123,"hip hop, melodic rap, philly rap, rage rap, rap","Hip Hop","Luv Is Rage 2 (Deluxe)",2017-11-17,03:40,77,75,11,0,78,10,10,-4,G#/A♭ Minor,4,2024-01-27,0uxSUdBrJy9Un0EYoBowng,"Generation Now/Atlantic",1A,https://p.scdn.co/mp3-preview/3dd55d0ccc147f9a655048af71275a345ad54c7f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d5a84e4e47399d2726c330c
5,"The Less I Know The Better","Tame Impala",88,117,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","Currents",2015-07-17,03:36,64,74,1,1,79,0,10,-4,E Major,4,2024-01-27,6K4t31amVTZDgR3sKmwUJJ,"Universal Music Australia Pty. Ltd.",12B,,https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
6,"HIGHEST IN THE ROOM","Travis Scott",86,76,"hip hop, rap, slap house","Hip Hop, Electronic","HIGHEST IN THE ROOM",2019-10-04,02:55,60,43,5,0,6,0,20,-9,G Minor,4,2024-01-27,3eekarcy7kvN4yt5ZFzltW,"Cactus Jack/Epic",6A,https://p.scdn.co/mp3-preview/387b31c31b72f0c16e33d0c78bab869b0a0f4eb3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e42b5fea4ac4c3d6328b622b
7,"Jesus Freak Lighter","Blood Orange",53,113,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis","R&B, Pop, Electronic","Jesus Freak Lighter",2022-09-08,02:32,64,92,20,84,14,0,10,-10,C♯/D♭ Major,4,2024-01-27,22MPIMPsoi0vd46wsbpzfE,"Not specified",3B,https://p.scdn.co/mp3-preview/60caddb7fc9e0a4d5ebc5a224ee7dc6702352a02?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d5caf410f05c73301e83a63
8,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert,Oh Wonder",82,82,"hip hop, melodic rap, philly rap, rage rap, rap, electropop, indie poptimism, pov: indie","Pop, Hip Hop","Luv Is Rage 2",2017-08-25,03:41,70,76,62,0,70,0,10,-4,C♯/D♭ Major,4,2024-01-27,2eAZfqOm4EnOF9VvN50Tyc,"Generation Now/Atlantic",3B,https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141b41e6f7924e530a9b00f9c
9,"Lost In Yesterday","Tame Impala",70,183,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","The Slow Rush",2020-02-14,04:09,57,84,3,0,75,10,10,-4,C♯/D♭ Major,3,2024-01-27,5JWPUEov2wlX7c0jhYZpeB,"Universal Music Australia Pty. Ltd.",3B,,https://i.scdn.co/image/ab67616d0000485158267bd34420a00d5cf83a49
10,"Crew (feat. Brent Faiyaz & Shy Glizzy)","GoldLink,Brent Faiyaz,Shy Glizzy",80,130,"alternative r&b, r&b, rap, drill, memphis hip hop, trap","R&B, Hip Hop","At What Cost",2017-03-24,02:56,73,61,13,0,45,10,0,-8,C♯/D♭ Minor,4,2024-01-27,15EPc80XuFrb2LmOzGjuRg,"Squaaash Club/RCA Records",12A,https://p.scdn.co/mp3-preview/43bbfb0a4ff1ce6999b044d67d513aac7273e5ee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517bcd3cd54e8399ae38cc6e64
